GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
0500000US01003,01003,"Baldwin County, Alabama",151050,547,17547,2364,133503,2519,72061,1607,15954,1922,56107,2318,19496,1507,743,553,18753,1547,23254,1016,4074,1002,19180,1372,13186,391,2815,792,10371,812,9828,374,4860,874,4968,959,6297,219,3462,795,2835,742,78989,1579,1593,915,77396,1923,19604,1556,235,267,19369,1589,26261,493,567,591,25694,852,14146,281,511,466,13635,519,11164,386,227,247,10937,461,7814,360,53,71,7761,365
0500000US01015,01015,"Calhoun County, Alabama",90288,434,10365,1402,79923,1464,42678,509,9301,1267,33377,1252,13439,433,736,669,12703,665,14505,438,1970,932,12535,1051,7158,251,2235,555,4923,566,4883,233,2114,439,2769,479,2693,197,2246,341,447,265,47610,398,1064,499,46546,678,13703,364,318,344,13385,503,15544,499,333,265,15211,561,8008,192,294,288,7714,288,5665,318,82,110,5583,339,4690,303,37,61,4653,327
0500000US01043,01043,"Cullman County, Alabama",62751,517,4930,919,57821,1062,30589,482,4865,899,25724,1041,8594,500,203,173,8391,498,10761,336,1311,675,9450,755,5303,172,827,303,4476,340,3722,31,1241,421,2481,424,2209,43,1283,416,926,423,32162,321,65,89,32097,330,8215,424,14,24,8201,424,10688,316,51,85,10637,331,5566,196,0,192,5566,196,4367,111,0,192,4367,111,3326,36,0,192,3326,36
0500000US01049,01049,"DeKalb County, Alabama",54626,1659,4050,759,50576,1863,27192,1687,3262,721,23930,1875,8338,1765,238,316,8100,1788,9849,575,848,387,9001,693,4157,118,663,366,3494,349,3153,184,904,348,2249,394,1695,58,609,261,1086,271,27434,274,788,485,26646,564,6357,582,315,449,6042,738,9767,633,355,286,9412,699,4754,383,29,48,4725,384,3369,175,0,192,3369,175,3187,592,89,116,3098,615
0500000US01051,01051,"Elmore County, Alabama",62055,516,8552,1648,53503,1610,30099,640,7241,1244,22858,1226,9060,252,411,301,8649,394,11157,698,2822,878,8335,866,4795,436,1906,564,2889,650,3291,234,1113,361,2178,394,1796,241,989,419,807,343,31956,467,1311,791,30645,970,9210,352,274,425,8936,565,11764,245,863,634,10901,697,5139,201,174,169,4965,253,3511,182,0,192,3511,182,2332,182,0,192,2332,182
0500000US01055,01055,"Etowah County, Alabama",80964,234,6980,1094,73984,1099,38060,334,6686,1047,31374,1071,10270,349,244,277,10026,427,13639,461,1397,590,12242,673,6713,87,1714,544,4999,534,4673,159,1782,509,2891,497,2765,165,1549,419,1216,399,42904,381,294,226,42610,458,10408,395,0,192,10408,395,15073,623,241,212,14832,706,7506,206,0,192,7506,206,5459,150,19,39,5440,155,4458,137,34,57,4424,152
0500000US01069,01069,"Houston County, Alabama",78674,135,8949,667,69725,647,36785,211,8441,636,28344,617,10551,146,616,223,9935,246,13200,156,2107,398,11093,426,6161,84,2201,373,3960,388,4187,34,1619,276,2568,274,2686,66,1898,168,788,168,41889,152,508,163,41381,218,11300,196,87,78,11213,217,14259,184,193,105,14066,222,6901,93,146,86,6755,128,5113,148,0,192,5113,148,4316,102,82,64,4234,113
0500000US01073,01073,"Jefferson County, Alabama",506740,329,40683,2669,466057,2600,234353,589,37694,2438,196659,2510,75474,631,1667,557,73807,807,81427,613,8634,1568,72793,1671,40331,468,10386,1156,29945,1345,22304,291,8347,959,13957,1004,14817,146,8660,1132,6157,1113,272387,667,2989,802,269398,1081,80426,552,427,293,79999,639,90673,839,957,458,89716,965,46774,678,984,504,45790,893,27572,316,340,238,27232,410,26942,466,281,257,26661,469
0500000US01077,01077,"Lauderdale County, Alabama",74145,918,6566,1019,67579,1262,35149,945,6082,947,29067,1213,11488,924,193,164,11295,943,10630,342,1364,629,9266,725,5983,211,1672,500,4311,537,4283,177,870,334,3413,384,2765,180,1983,326,782,291,38996,336,484,291,38512,432,10760,377,105,119,10655,387,11943,245,0,192,11943,245,6700,169,311,240,6389,286,4948,195,18,30,4930,200,4645,234,50,73,4595,246
0500000US01081,01081,"Lee County, Alabama",116472,842,8565,1295,107907,1573,56216,860,8107,1249,48109,1506,25448,871,969,500,24479,946,17086,752,2446,752,14640,851,7023,191,1660,597,5363,602,4566,266,1735,551,2831,562,2093,188,1297,297,796,345,60256,202,458,268,59798,354,25007,834,150,164,24857,860,19258,870,192,161,19066,881,7753,178,45,78,7708,195,5052,382,71,115,4981,392,3186,326,0,192,3186,326
0500000US01083,01083,"Limestone County, Alabama",67609,613,6105,1065,61504,1248,33946,788,5558,942,28388,1191,9993,737,144,140,9849,740,12956,941,1794,554,11162,1055,5456,562,1273,484,4183,665,3729,438,1223,583,2506,486,1812,139,1124,200,688,240,33663,950,547,358,33116,977,9309,1046,104,169,9205,1052,12753,662,227,207,12526,808,5337,390,129,195,5208,409,3731,315,72,119,3659,331,2533,127,15,31,2518,116
0500000US01089,01089,"Madison County, Alabama",267371,379,31055,2244,236316,2238,128776,462,28350,2006,100426,2019,40938,868,1425,575,39513,1068,47271,813,8615,1403,38656,1596,20704,371,7035,1090,13669,1134,11967,518,6155,875,5812,968,7896,581,5120,816,2776,762,138595,240,2705,937,135890,956,40371,401,214,263,40157,543,49901,405,1400,712,48501,779,21640,341,482,355,21158,492,14656,506,314,214,14342,521,12027,355,295,213,11732,417
0500000US01095,01095,"Marshall County, Alabama",71478,225,7185,1271,64293,1295,34177,328,6906,1219,27271,1289,10032,664,674,622,9358,966,12488,708,1610,492,10878,840,5340,93,1293,553,4047,561,3946,29,2020,449,1926,448,2371,89,1309,395,1062,386,37301,347,279,220,37022,380,9849,484,20,35,9829,486,12537,534,20,23,12517,537,6202,271,22,28,6180,269,5049,278,190,213,4859,326,3664,29,27,41,3637,55
