GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD04,HD01_VD06,HD01_VD08,HD01_VD10,HD01_VD11,HD01_VD13,HD01_VD14,HD01_VD16,HD01_VD17,HD01_VD19,HD01_VD20,HD01_VD22,HD01_VD23,HD01_VD25,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD32,HD01_VD33,HD01_VD35,HD01_VD36,HD01_VD38,HD01_VD39,HD01_VD41,HD01_VD42
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Veteran,Estimate; Total: - Male:,Estimate; Total: - Male: - Veteran,Estimate; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Female:,Estimate; Total: - Female: - Veteran,Estimate; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran
0500000US20103,20103,"Leavenworth County, Kansas",58886,8932,30753,8144,9499,880,11451,2481,5130,1601,2955,2072,1718,1110,28133,788,7847,30,9466,420,4802,310,3419,0,2599,28
0500000US20161,20161,"Riley County, Kansas",56232,4967,28157,4741,16796,1508,5991,1157,2615,671,1682,632,1073,773,28075,226,16075,97,5818,57,2766,0,1758,0,1658,72
0500000US20173,20173,"Sedgwick County, Kansas",377052,32430,183833,29693,60197,3086,61448,7240,31317,5495,19194,7433,11677,6439,193219,2737,59990,649,61761,1005,33160,589,21464,364,16844,130
0500000US20177,20177,"Shawnee County, Kansas",135175,12269,64177,11325,18194,936,21083,1755,11277,2181,7955,3327,5668,3126,70998,944,19341,0,21441,280,13326,434,8982,230,7908,0
0500000US20209,20209,"Wyandotte County, Kansas",117546,7003,57268,6610,18835,321,20822,1746,9553,1349,5151,1816,2907,1378,60278,393,19583,63,20030,175,9920,65,6027,43,4718,47
0500000US21015,21015,"Boone County, Kentucky",93353,8852,44696,8642,13208,690,17173,2202,7493,2210,4556,2119,2266,1421,48657,210,13492,0,18682,0,7745,90,5510,120,3228,0
0500000US21029,21029,"Bullitt County, Kentucky",61249,5955,29737,5481,8219,375,11001,1562,5112,1098,3678,1544,1727,902,31512,474,8632,79,11299,0,5498,119,3838,276,2245,0
0500000US21037,21037,"Campbell County, Kentucky",72634,5090,34773,4952,11230,142,11535,876,6199,1406,3617,1289,2192,1239,37861,138,11786,0,11874,100,6690,38,4131,0,3380,0
0500000US21047,21047,"Christian County, Kentucky",44794,4666,21435,3969,8187,432,6568,1442,3358,785,1940,717,1382,593,23359,697,7617,200,7429,110,3776,286,2318,101,2219,0
0500000US21059,21059,"Daviess County, Kentucky",75683,6538,36238,6289,10440,653,12442,1495,6336,699,4358,1557,2662,1885,39445,249,11300,9,12051,34,6702,122,5097,84,4295,0
